,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,27,28.0,45,3,2,311,320,50,306,373,269,4,3,0,2319,427,497,46.2
Aston Villa,30,29.0,65,2,1,363,457,37,354,462,304,1,5,1,2312,460,499,48.0
Brentford,28,30.0,55,2,1,372,346,61,325,486,331,6,2,2,2833,669,681,49.6
Brighton,25,29.0,56,2,0,360,332,38,372,444,350,3,4,0,2585,481,481,50.0
Burnley,22,27.0,50,1,0,340,270,75,320,467,265,0,0,1,2472,724,649,52.7
Chelsea,25,28.0,48,1,0,359,390,54,347,440,289,6,4,1,2294,452,421,51.8
Crystal Palace,24,29.0,52,1,1,372,424,47,327,426,337,4,4,2,2516,565,502,53.0
Everton,32,27.0,57,3,1,323,334,47,302,435,350,4,1,4,2420,493,612,44.6
Leeds United,29,30.0,90,1,0,437,363,55,373,509,360,3,5,1,2590,413,502,45.1
Leicester City,25,27.0,37,1,0,312,353,51,229,399,302,1,7,1,2241,463,440,51.3
Liverpool,27,29.0,35,1,0,333,298,48,433,430,266,4,0,1,2911,476,411,53.7
Manchester City,25,29.0,35,1,0,300,335,54,467,321,252,5,1,0,2316,393,331,54.3
Manchester Utd,25,29.0,60,2,1,364,321,62,332,416,284,2,4,3,2459,496,389,56.0
Newcastle Utd,29,29.0,68,2,1,391,346,44,324,454,304,0,6,2,2284,617,578,51.6
Norwich City,27,29.0,47,1,1,356,398,47,295,477,309,2,10,2,2219,460,528,46.6
Southampton,25,29.0,54,2,1,400,344,30,338,515,302,3,1,1,2714,576,693,45.4
Tottenham,25,29.0,51,1,1,362,398,51,311,440,285,2,2,1,2273,496,423,54.0
Watford,30,29.0,53,2,2,427,302,38,295,488,326,2,4,3,2498,636,651,49.4
West Ham,25,30.0,41,2,2,293,279,47,405,447,290,3,2,1,2586,576,563,50.6
Wolves,24,30.0,51,2,2,369,343,53,300,458,362,1,5,1,2449,450,472,48.8
