,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,27,28.0,14063,12872,1191,294,24,1809,388,306,148,97,22,13,9953,1673,2437,5875,6680,511,494,181,11503,43,223,397,275
Aston Villa,30,29.0,12057,10664,1393,408,28,1652,381,354,148,85,34,11,7849,1508,2700,3996,6453,538,536,167,9348,33,244,375,272
Brentford,28,30.0,12363,10970,1393,357,19,1861,289,325,113,63,29,11,7022,1880,3461,3665,6454,864,619,214,8844,53,268,445,348
Brighton,25,29.0,16227,14921,1306,289,17,2139,449,372,157,63,70,5,11634,1869,2724,4030,10524,504,614,206,13211,36,245,472,414
Burnley,22,27.0,9754,8551,1203,255,20,1728,340,320,122,103,6,3,4674,1551,3529,2966,4822,671,552,165,6602,72,232,303,315
Chelsea,25,28.0,17086,15840,1246,343,42,2361,327,347,178,83,68,6,12898,1834,2354,3648,11936,506,529,174,14513,51,183,469,331
Crystal Palace,24,29.0,14107,12663,1444,399,16,1916,348,327,132,66,34,7,9376,1713,3018,3599,8652,589,640,214,11186,46,242,427,320
Everton,32,27.0,10553,9280,1273,295,16,1831,305,302,112,55,39,4,6237,1537,2779,2590,6302,537,580,148,7713,45,275,396,314
Leeds United,29,30.0,14311,12887,1424,336,21,2015,450,373,140,77,37,5,9528,2124,2659,5859,6795,505,629,278,11247,49,287,503,380
Leicester City,25,27.0,13346,12040,1306,345,22,2112,308,229,136,70,37,5,9325,1576,2445,3332,8482,522,523,145,10667,46,234,431,322
Liverpool,27,29.0,18613,17274,1339,350,51,2276,542,433,215,36,148,10,13253,2229,3131,4500,12321,649,583,240,15463,45,209,564,423
Manchester City,25,29.0,20905,19683,1222,310,52,2305,560,467,247,102,43,20,16571,1859,2475,7623,11811,521,500,184,18447,48,198,446,367
Manchester Utd,25,29.0,15150,13841,1309,298,36,2287,518,332,152,54,69,5,10721,1916,2513,4324,9264,490,558,176,12343,56,210,523,353
Newcastle Utd,29,29.0,10355,8994,1361,327,13,1687,363,324,132,68,44,12,5973,1549,2833,2368,6272,549,556,163,7619,37,224,318,286
Norwich City,27,29.0,12005,10583,1422,377,16,1813,398,295,127,64,56,3,7579,1611,2815,3606,6733,555,594,185,9188,40,233,385,299
Southampton,25,29.0,13130,11768,1362,319,19,2080,290,338,185,91,80,1,8527,1556,3047,2775,8525,655,575,163,9993,25,246,390,333
Tottenham,25,29.0,15359,14066,1293,330,48,1987,340,311,153,57,54,4,11365,1649,2345,3741,10067,507,531,161,12794,47,166,475,353
Watford,30,29.0,11038,9662,1376,305,13,1687,343,295,124,65,44,2,6150,1663,3225,3114,6045,654,629,148,8007,32,252,357,306
West Ham,25,30.0,13900,12574,1326,237,28,1959,410,405,161,107,40,3,8977,1853,3070,3521,8510,629,624,183,10833,41,266,390,350
Wolves,24,30.0,14653,13327,1326,347,22,2110,456,300,132,28,70,7,9956,1839,2858,4545,8402,547,578,237,11781,46,238,434,323
