,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,27,28.0,43,423,133,31.4,15.11,4.75,0.10,0.31,17.1,15,2,5,43.0,39.4,0.10,0.0,+1.6
Aston Villa,30,29.0,39,336,112,33.3,11.59,3.86,0.11,0.33,17.0,16,2,2,32.6,31.2,0.09,+6.4,+5.8
Brentford,28,30.0,32,314,100,31.8,10.47,3.33,0.08,0.26,15.7,5,6,6,35.4,30.9,0.10,-3.4,-4.9
Brighton,25,29.0,25,357,97,27.2,12.31,3.34,0.06,0.23,17.0,13,3,4,31.0,28.0,0.08,-6.0,-6.0
Burnley,22,27.0,20,273,77,28.2,10.11,2.85,0.07,0.26,16.9,11,0,0,24.1,24.1,0.09,-4.1,-4.1
Chelsea,25,28.0,56,391,137,35.0,13.96,4.89,0.13,0.36,16.6,22,7,7,46.7,41.7,0.11,+9.3,+7.3
Crystal Palace,24,29.0,39,305,103,33.8,10.52,3.55,0.11,0.34,15.7,11,4,5,34.9,31.2,0.10,+4.1,+3.8
Everton,32,27.0,28,313,91,29.1,11.59,3.37,0.08,0.27,17.2,15,3,4,29.6,26.6,0.09,-1.6,-1.6
Leeds United,29,30.0,34,407,120,29.5,13.57,4.00,0.07,0.25,17.8,12,4,4,39.3,36.3,0.09,-5.3,-6.3
Leicester City,25,27.0,42,319,118,37.0,11.81,4.37,0.13,0.34,17.1,10,2,2,37.8,36.3,0.12,+4.2,+3.7
Liverpool,27,29.0,75,549,191,34.8,18.93,6.59,0.13,0.36,15.6,5,6,7,72.0,67.0,0.13,+3.0,+2.0
Manchester City,25,29.0,66,529,185,35.0,18.24,6.38,0.11,0.32,15.7,12,6,7,67.0,61.5,0.12,-1.0,-1.5
Manchester Utd,25,29.0,47,408,139,34.1,14.07,4.79,0.11,0.32,17.1,15,2,3,44.8,42.6,0.11,+2.2,+2.4
Newcastle Utd,29,29.0,30,349,105,30.1,12.03,3.62,0.08,0.28,17.0,10,1,1,28.8,28.1,0.08,+1.2,+0.9
Norwich City,27,29.0,16,284,80,28.2,9.79,2.76,0.05,0.16,18.1,15,3,3,24.8,22.5,0.08,-8.8,-9.5
Southampton,25,29.0,34,391,134,34.3,13.48,4.62,0.08,0.23,16.9,16,3,3,39.3,37.1,0.10,-5.3,-6.1
Tottenham,25,29.0,41,370,140,37.8,12.76,4.83,0.10,0.27,16.3,15,3,3,48.5,46.3,0.13,-7.5,-8.3
Watford,30,29.0,29,318,106,33.3,10.97,3.66,0.09,0.26,17.8,17,1,2,30.9,29.4,0.09,-1.9,-1.4
West Ham,25,30.0,47,370,117,31.6,12.33,3.90,0.12,0.38,16.0,11,3,5,40.6,37.3,0.10,+6.4,+6.7
Wolves,24,30.0,29,321,107,33.3,10.70,3.57,0.09,0.26,18.1,11,1,1,28.7,28.2,0.09,+0.3,-0.2
