,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks▼,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Burnley,22,27.0,463,265,215,186,62,170,420,40.5,250,3914,1084,27.7,1218,1696,1000,534,177,6,357,467,930,669,8
Norwich City,27,29.0,528,309,278,202,48,204,493,41.4,289,4628,1224,26.4,1788,1886,954,492,152,4,340,477,1005,632,5
Leeds United,29,30.0,650,360,332,237,81,283,646,43.8,363,5226,1582,30.3,1781,2260,1185,491,137,3,354,509,1159,596,11
Brentford,28,30.0,561,331,271,207,83,209,498,42.0,289,4369,1271,29.1,1594,1838,937,489,98,3,391,486,1047,730,8
Brighton,25,29.0,566,350,254,225,87,194,454,42.7,260,4322,1403,32.5,1404,1725,1193,489,117,3,372,444,1010,561,10
Crystal Palace,24,29.0,564,337,287,213,64,190,425,44.7,235,4677,1404,30.0,1668,2055,954,482,116,0,366,426,990,647,6
Wolves,24,30.0,578,362,331,193,54,203,505,40.2,302,4319,1294,30.0,1699,1853,767,472,114,3,358,458,1036,701,6
Aston Villa,30,29.0,524,304,264,202,58,198,460,43.0,262,4042,1137,28.1,1428,1745,869,470,119,3,351,462,986,541,5
Newcastle Utd,29,29.0,532,304,292,178,62,189,481,39.3,292,4097,1100,26.8,1555,1694,848,465,143,4,322,454,986,665,7
Tottenham,25,29.0,532,285,241,222,69,174,446,39.0,272,4346,1207,27.8,1609,1873,864,464,136,3,328,440,972,596,2
Everton,32,27.0,576,350,284,217,75,228,531,42.9,303,4474,1365,30.5,1499,1961,1014,463,117,0,346,435,1011,545,7
Leicester City,25,27.0,542,302,263,213,66,193,481,40.1,288,4241,1222,28.8,1510,1884,847,461,131,4,330,399,941,609,11
West Ham,25,30.0,466,290,235,165,66,184,475,38.7,291,3889,1097,28.2,1370,1660,859,455,137,2,318,447,913,634,3
Southampton,25,29.0,505,302,227,211,67,169,445,38.0,276,4363,1381,31.7,1382,1895,1086,448,104,4,344,515,1020,643,4
Watford,30,29.0,535,326,308,186,41,195,489,39.9,294,4432,1252,28.2,1593,1938,901,441,119,5,322,488,1023,715,4
Manchester Utd,25,29.0,481,284,251,172,58,186,442,42.1,256,3804,1114,29.3,1255,1698,851,432,122,2,310,416,897,618,7
Chelsea,25,28.0,480,289,211,202,67,155,413,37.5,258,3998,1212,30.3,1243,1728,1027,420,88,5,332,440,920,594,8
Arsenal,27,28.0,431,269,195,169,67,143,327,43.7,184,3458,1046,30.2,1014,1391,1053,412,109,0,303,373,804,477,12
Liverpool,27,29.0,423,266,144,194,85,139,400,34.8,261,4005,1279,31.9,961,1810,1234,361,74,4,287,430,853,477,6
Manchester City,25,29.0,387,252,131,173,83,149,383,38.9,234,3257,1045,32.1,717,1432,1108,308,55,2,253,321,708,359,5
