,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,27,28.0,11503,14063,81.8,217058,65061,4848,5453,88.9,4965,5591,88.8,1458,2510,58.1,31,28.0,+3.0,309,821,260,60,857
Aston Villa,30,29.0,9348,12057,77.5,184525,65351,3739,4318,86.6,4027,4716,85.4,1406,2574,54.6,33,25.4,+7.6,254,703,237,58,855
Brentford,28,30.0,8844,12363,71.5,178083,66249,3420,4181,81.8,3835,4844,79.2,1421,2805,50.7,20,22.5,-2.5,210,678,198,61,804
Brighton,25,29.0,13211,16227,81.4,258590,76613,5147,5807,88.6,5987,6799,88.1,1857,3001,61.9,21,21.0,0.0,254,902,266,68,951
Burnley,22,27.0,6602,9754,67.7,138037,57982,2834,3454,82.0,2356,3104,75.9,1276,2749,46.4,17,17.5,-0.5,183,589,172,59,618
Chelsea,25,28.0,14513,17086,84.9,268004,81508,6199,6803,91.1,6389,7126,89.7,1666,2555,65.2,40,33.5,+6.5,287,1055,310,43,1129
Crystal Palace,24,29.0,11186,14107,79.3,218965,70314,4347,4963,87.6,5075,5890,86.2,1574,2743,57.4,25,24.0,+1.0,213,695,217,61,798
Everton,32,27.0,7713,10553,73.1,153134,57360,3174,3741,84.8,3118,3885,80.3,1206,2382,50.6,21,18.8,+2.2,223,612,190,57,691
Leeds United,29,30.0,11247,14311,78.6,219673,71930,4420,5086,86.9,4990,5756,86.7,1617,2859,56.6,22,26.0,-4.0,292,813,249,48,1045
Leicester City,25,27.0,10667,13346,79.9,199333,65888,4531,5144,88.1,4680,5363,87.3,1264,2324,54.4,31,24.6,+6.4,215,612,183,26,783
Liverpool,27,29.0,15463,18613,83.1,305466,98069,5978,6687,89.4,6999,7923,88.3,2275,3375,67.4,55,47.9,+7.1,385,1349,395,64,1496
Manchester City,25,29.0,18447,20905,88.2,349826,91041,7681,8288,92.7,8191,8902,92.0,2377,3191,74.5,40,44.3,-4.3,391,1531,427,59,1341
Manchester Utd,25,29.0,12343,15150,81.5,233894,70973,5325,6035,88.2,5104,5848,87.3,1687,2669,63.2,40,33.8,+6.2,325,968,250,57,1018
Newcastle Utd,29,29.0,7619,10355,73.6,158030,60612,3045,3639,83.7,3023,3703,81.6,1362,2543,53.6,19,19.6,-0.6,237,567,165,52,567
Norwich City,27,29.0,9188,12005,76.5,187707,63228,3550,4099,86.6,3927,4665,84.2,1570,2796,56.2,12,15.8,-3.8,191,560,179,42,708
Southampton,25,29.0,9993,13130,76.1,186596,64011,4418,5130,86.1,4213,5082,82.9,1175,2415,48.7,22,27.4,-5.4,280,754,208,47,844
Tottenham,25,29.0,12794,15359,83.3,240906,74333,5431,6015,90.3,5560,6289,88.4,1595,2495,63.9,34,37.1,-3.1,283,914,275,53,1022
Watford,30,29.0,8007,11038,72.5,167234,63330,3059,3657,83.6,3386,4182,81.0,1407,2741,51.3,23,23.0,0.0,239,598,172,53,708
West Ham,25,30.0,10833,13900,77.9,213478,72004,4456,5080,87.7,4531,5370,84.4,1660,2918,56.9,40,30.2,+9.8,263,806,246,75,898
Wolves,24,30.0,11781,14653,80.4,239941,74437,4332,4949,87.5,5312,6057,87.7,1974,3150,62.7,18,19.7,-1.7,227,814,171,45,847
