,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,27,51.8,28.0,17189,1860,5589,7795,4857,802,16033,227,414,54.8,237,17,11289,59113,33308,1322,382,152,361,276,13271,11503,86.7,857
Aston Villa,30,46.2,29.0,15465,1932,5452,6784,4129,666,14114,220,399,55.1,239,23,9456,49093,26253,999,299,108,381,343,11280,9348,82.9,855
Brentford,28,44.2,30.0,15915,2396,6337,6703,3643,636,14557,182,339,53.7,197,23,8510,41702,22004,788,229,73,340,304,11430,8844,77.4,804
Brighton,25,57.0,29.0,19704,2207,6945,8383,5560,734,18418,263,452,58.2,282,25,12831,63625,33584,1257,369,107,347,356,15280,13211,86.5,951
Burnley,22,38.9,27.0,12947,1754,4276,5811,3474,471,11770,191,343,55.7,213,9,6592,33534,15782,610,229,49,317,232,8712,6602,75.8,618
Chelsea,25,60.1,28.0,20425,1892,6318,9663,5687,826,19207,266,441,60.3,287,18,13871,66185,36487,1549,469,185,323,341,16498,14513,88.0,1129
Crystal Palace,24,50.4,29.0,17811,2305,6695,8098,4038,643,16405,285,522,54.6,304,25,11144,55337,28788,1069,321,119,400,435,13219,11186,84.6,798
Everton,32,41.6,27.0,13931,1734,4742,6175,3811,570,12698,218,414,52.7,238,22,7965,42981,22321,864,280,99,345,318,9774,7713,78.9,691
Leeds United,29,54.3,30.0,18050,2272,7081,7763,4375,709,16667,259,531,48.8,284,29,11333,61840,34735,1205,330,135,373,332,13457,11247,83.6,1045
Leicester City,25,50.1,27.0,16679,2192,6385,7585,3573,590,15409,218,412,52.9,244,17,10397,47220,24719,947,282,106,336,303,12620,10667,84.5,783
Liverpool,27,62.3,29.0,21968,1763,5749,10797,6686,1164,20648,271,488,55.5,295,25,14543,67684,38032,1749,513,203,380,342,17955,15463,86.1,1496
Manchester City,25,68.4,29.0,23805,1547,5192,12190,8066,1267,22613,296,518,57.1,319,26,17649,90998,52007,2502,634,293,288,332,20178,18447,91.4,1341
Manchester Utd,25,52.9,29.0,18514,1803,5714,8852,5118,745,17230,280,511,54.8,305,33,11716,62731,35337,1476,443,162,298,318,14496,12343,85.1,1018
Newcastle Utd,29,39.8,29.0,13865,1924,5336,5738,3614,638,12519,256,462,55.4,287,15,7912,41989,22447,829,264,109,365,346,9399,7619,81.1,567
Norwich City,27,43.0,29.0,15475,2345,6490,6475,3422,524,14089,218,443,49.2,241,17,8932,47324,25231,869,273,81,332,303,11348,9188,81.0,708
Southampton,25,49.6,29.0,16727,1785,5159,7871,4741,731,15387,258,473,54.5,287,13,10123,56014,30007,1253,402,156,360,375,12200,9993,81.9,844
Tottenham,25,51.7,29.0,18823,1966,6133,9185,4677,718,17578,281,493,57.0,302,23,12374,63830,34801,1458,431,144,343,366,14693,12794,87.1,1022
Watford,30,40.9,29.0,14592,2022,5667,6228,3538,532,13238,298,551,54.1,318,48,8094,42068,23228,825,272,125,370,326,10058,8007,79.6,708
West Ham,25,47.4,30.0,17294,1930,5574,7990,4786,743,15978,194,413,47.0,219,32,10590,56864,28270,1154,375,125,348,314,13013,10833,83.2,898
Wolves,24,49.6,30.0,18291,2211,6826,8292,4241,603,17003,325,613,53.0,361,40,11731,57046,31738,1235,366,141,357,312,13752,11781,85.7,847
